primary_key	patron_arrival_time	drink_name	order_arrival_time	prepTime	order_completion_time
0_1	372	Pina Colada	393	100	494
0_2	372	Mojito	616	75	692
1_3	1040	White Wine	1041	25	1068
1_4	1040	Draft Beer	1224	50	1275
2_5	1949	Cosmopolitan	1953	65	2020
3_6	1997	Tequila shot	2000	20	2065
4_7	2026	Gin and Tonic	2027	40	2126
3_8	1997	Cosmopolitan	2068	65	2214
2_9	1949	Draft Beer	2071	50	2288
5_10	2208	Cider	2209	25	2337
4_11	2026	B52	2237	200	2558
3_12	1997	Margarita	2267	75	2661
6_13	2391	Red Wine	2393	25	2706
7_14	2414	Cosmopolitan	2415	65	2792
5_15	2208	B52	2440	200	3021
8_16	2508	Margarita	2510	75	3124
4_17	2026	Draft Beer	2569	50	3207
9_18	2718	Cosmopolitan	2719	65	3297
3_19	1997	White Wine	2742	25	3349
7_20	2414	Margarita	2845	75	3446
6_21	2391	Cider	2858	25	3501
5_22	2208	Mojito	3032	75	3598
8_23	2508	B52	3208	200	3830
4_24	2026	Draft Beer	3308	50	3911
3_25	1997	Vodka shot	3499	20	3955
7_26	2414	Cosmopolitan	3528	65	4041
10_27	3669	Draft Beer	3670	50	4114
5_28	2208	White Wine	3709	25	4160
8_29	2508	Cider	3842	25	4204
3_30	1997	Draft Beer	3959	50	4274
4_31	2026	Red Wine	4012	25	4320
7_32	2414	Gin and Tonic	4093	40	4386
10_33	3669	Draft Beer	4218	50	4466
8_34	2508	White Wine	4307	25	4532
5_35	2208	Bloody Mary	4312	70	4629
4_36	2026	B52	4471	200	4852
7_37	2414	Mojito	4499	75	4957
10_38	3669	Bloody Mary	4571	70	5053
8_39	2508	Draft Beer	4685	50	5127
5_40	2208	Martini	4782	60	5208
4_41	2026	Beer	4863	25	5255
7_42	2414	Bloody Mary	5068	70	5346
10_43	3669	Martini	5211	60	5429
4_44	2026	Red Wine	5356	25	5482
10_45	3669	Mojito	5540	75	5617
