primary_key	patron_arrival_time	drink_name	order_arrival_time	prepTime	order_completion_time
0_1	372	Pina Colada	392	100	500
0_2	372	Mojito	623	75	702
0_3	372	White Wine	815	25	841
0_4	372	Draft Beer	993	50	1046
1_5	1040	Cosmopolitan	1042	65	1134
2_7	1158	Gin and Tonic	1160	40	1204
1_8	1040	Cosmopolitan	1186	65	1286
0_6	372	Tequila shot	1148	20	1327
2_9	1158	Draft Beer	1315	50	1395
3_12	1341	Margarita	1347	75	1489
0_10	372	Cider	1331	25	1540
1_11	1040	B52	1338	200	1764
3_13	1341	Red Wine	1570	25	1818
0_14	372	Cosmopolitan	1642	65	1901
1_15	1040	B52	1776	200	2117
4_16	1949	Margarita	1952	75	2224
5_19	1997	White Wine	2001	25	2278
6_20	2026	Margarita	2029	75	2374
7_22	2208	Mojito	2210	75	2475
8_24	2391	Draft Beer	2393	50	2551
9_25	2414	Vodka shot	2416	20	2598
10_27	2508	Draft Beer	2511	50	2677
4_23	1949	B52	2308	200	2909
11_31	2718	Red Wine	2720	25	2972
6_26	2026	Cosmopolitan	2456	65	3057
7_28	2208	White Wine	2586	25	3102
9_29	2414	Cider	2602	25	3146
8_30	2391	Draft Beer	2652	50	3216
10_32	2508	Gin and Tonic	2779	40	3280
0_17	372	Draft Beer	1952	50	3349
3_18	1341	Cosmopolitan	1969	65	3440
1_21	1040	Cider	2129	25	3486
4_33	1949	Draft Beer	2921	50	3559
6_34	2026	White Wine	3108	25	3607
9_35	2414	Bloody Mary	3247	70	3696
12_41	3669	Beer	3671	25	3745
7_36	2208	B52	3253	200	3971
12_43	3669	Martini	3847	60	4060
10_37	2508	Mojito	3390	75	4160
3_38	1341	Bloody Mary	3491	70	4255
1_39	1040	Draft Beer	3586	50	4332
4_40	1949	Martini	3662	60	4418
6_42	2026	Bloody Mary	3760	70	4510
9_44	2414	Red Wine	3848	25	4560
7_45	2208	Mojito	3982	75	4664
12_46	3669	Tequila shot	4171	20	4705
10_47	2508	Red Wine	4271	25	4751
3_48	1341	Cider	4405	25	4796
4_49	1949	Vodka shot	4532	20	4838
6_50	2026	Beer	4663	25	4884
12_51	3669	B52	4709	200	5111
9_52	2414	Vodka shot	4710	20	5165
7_53	2208	Pina Colada	4775	100	5290
3_54	1341	Vodka shot	4897	20	5337
10_55	2508	B52	4902	200	5555
12_56	3669	Red Wine	5122	25	5616
9_57	2414	Cider	5169	25	5664
7_58	2208	Draft Beer	5411	50	5732
10_59	2508	White Wine	5567	25	5778
12_60	3669	Martini	5768	60	5926
10_61	2508	B52	5929	200	6146
