primary_key	patron_arrival_time	drink_name	order_arrival_time	prepTime	order_completion_time
0_1	372	Pina Colada	389	100	497
0_2	372	Mojito	621	75	700
1_3	1040	White Wine	1044	25	1071
1_4	1040	Draft Beer	1222	50	1274
2_5	1949	Cosmopolitan	1950	65	2019
3_6	1997	Tequila shot	2002	20	2070
2_8	1949	Cosmopolitan	2070	65	2163
3_9	1997	Draft Beer	2074	50	2244
4_7	2026	Gin and Tonic	2027	40	2320
3_11	1997	B52	2345	200	2547
3_16	1997	Margarita	2558	75	2649
4_14	2026	Cosmopolitan	2431	65	2741
3_18	1997	Cosmopolitan	2730	65	2833
4_19	2026	White Wine	2792	25	2891
3_20	1997	Margarita	2886	75	2993
5_10	2208	Cider	2209	25	3046
4_21	2026	Cider	3043	25	3102
6_12	2391	Margarita	2400	75	3217
4_23	2026	B52	3204	200	3450
4_25	2026	Vodka shot	3461	20	3493
4_26	2026	Cosmopolitan	3496	65	3586
5_22	2208	Mojito	3148	75	3691
4_27	2026	Draft Beer	3639	50	3761
5_29	2208	Cider	3802	25	3883
6_24	2391	Draft Beer	3301	50	3953
7_13	2414	Red Wine	2415	25	4001
5_30	2208	Draft Beer	3985	50	4072
8_15	2508	B52	2512	200	4298
5_32	2208	Gin and Tonic	4173	40	4361
7_31	2414	Red Wine	4155	25	4411
8_33	2508	Draft Beer	4309	50	4505
5_34	2208	White Wine	4473	25	4556
7_35	2414	Bloody Mary	4562	70	4651
8_36	2508	B52	4610	200	4878
7_37	2414	Mojito	4806	75	4983
8_38	2508	Bloody Mary	4889	70	5083
7_39	2414	Draft Beer	5094	50	5164
9_17	2718	Draft Beer	2722	50	5239
8_40	2508	Martini	5236	60	5323
7_41	2414	Beer	5266	25	5371
10_28	3669	White Wine	3671	25	5418
10_42	3669	Bloody Mary	5569	70	5643
10_43	3669	Martini	5795	60	5859
10_44	3669	Red Wine	5972	25	5999
10_45	3669	Mojito	6151	75	6230
