primary_key	patron_arrival_time	drink_name	order_arrival_time	prepTime	order_completion_time
1_1	125	White Wine	137	25	164
2_3	191	Tequila shot	192	20	233
3_4	208	Vodka shot	210	20	285
2_5	191	Cider	237	25	333
1_10	125	Vodka shot	315	20	375
1_11	125	Tequila shot	378	20	418
3_8	208	Red Wine	289	25	468
6_9	288	Red Wine	290	25	517
7_13	459	Beer	461	25	566
8_14	487	Red Wine	489	25	616
3_15	208	Gin and Tonic	623	40	682
7_16	459	Vodka shot	667	20	726
6_17	288	Gin and Tonic	668	40	789
10_19	747	Vodka shot	749	20	833
11_21	768	Vodka shot	771	20	880
8_20	487	Red Wine	767	25	930
6_24	288	White Wine	900	25	979
1_12	125	Draft Beer	422	50	1052
5_7	277	Cosmopolitan	279	65	1137
12_27	1132	Beer	1143	25	1187
13_30	1205	Martini	1207	60	1277
12_31	1132	Martini	1288	60	1361
14_32	1310	White Wine	1312	25	1411
10_23	747	Bloody Mary	837	70	1506
12_34	1132	Cider	1475	25	1553
14_35	1310	Beer	1562	25	1607
4_6	250	Mojito	252	75	1713
16_39	1674	Cider	1675	25	1763
19_43	1730	Beer	1735	25	1816
12_37	1132	Gin and Tonic	1658	40	1880
16_44	1674	Red Wine	1864	25	1927
19_45	1730	White Wine	1919	25	1974
12_48	1132	White Wine	1990	25	2090
22_49	2014	Red Wine	2016	25	2142
19_52	1730	Gin and Tonic	2124	40	2203
26_54	2161	Red Wine	2164	25	2252
17_40	1686	Draft Beer	1688	50	2324
14_41	1310	Draft Beer	1708	50	2400
20_46	1971	Draft Beer	1972	50	2474
28_58	2423	Vodka shot	2427	20	2517
17_59	1686	Tequila shot	2427	20	2559
29_60	2453	Tequila shot	2455	20	2603
29_65	2453	Vodka shot	2607	20	2647
21_47	1978	Martini	1980	60	2732
10_38	747	Cosmopolitan	1659	65	2826
21_69	1978	White Wine	2843	25	2872
24_51	2117	Cosmopolitan	2122	65	2960
27_55	2228	Cosmopolitan	2230	65	3047
33_73	3029	Vodka shot	3031	20	3085
34_74	3040	Tequila shot	3041	20	3124
24_71	2117	White Wine	3013	25	3170
21_72	1978	White Wine	3023	25	3216
35_77	3195	Martini	3197	60	3299
28_62	2423	Bloody Mary	2521	70	3391
21_79	1978	White Wine	3367	25	3436
24_78	2117	Martini	3324	60	3515
37_82	3490	Martini	3493	60	3596
28_83	2423	Red Wine	3543	25	3643
24_85	2117	Vodka shot	3627	20	3681
24_86	2117	Beer	3685	25	3726
38_88	3734	White Wine	3736	25	3773
28_89	2423	Beer	3793	25	3822
21_84	1978	Gin and Tonic	3587	40	3881
37_87	3490	Martini	3707	60	3960
28_90	2423	Vodka shot	3924	20	4001
39_91	3961	Tequila shot	3963	20	4043
39_94	3961	Vodka shot	4046	20	4087
21_92	1978	Draft Beer	3992	50	4169
41_98	4100	Martini	4102	60	4257
40_97	4090	Cosmopolitan	4092	65	4347
41_100	4100	Red Wine	4368	25	4396
17_63	1686	Bloody Mary	2563	70	4487
42_102	4479	Vodka shot	4482	20	4527
30_67	2687	Bloody Mary	2690	70	4622
17_105	1686	Martini	4639	60	4705
33_75	3029	Bloody Mary	3088	70	4796
35_80	3195	Bloody Mary	3411	70	4885
17_107	1686	Vodka shot	4816	20	4924
9_18	668	Mojito	680	75	5020
33_109	3029	Cider	4947	25	5066
3_22	208	Mojito	796	75	5160
33_113	3029	Vodka shot	5168	20	5199
33_114	3029	Tequila shot	5203	20	5238
43_112	5138	Martini	5140	60	5318
33_115	3029	Cosmopolitan	5241	65	5404
5_29	277	Margarita	1188	75	5499
43_117	5138	Cider	5428	25	5545
13_33	1205	Mojito	1388	75	5641
43_120	5138	Martini	5645	60	5721
15_36	1576	Mojito	1578	75	5814
13_121	1205	Gin and Tonic	5753	40	5872
43_122	5138	Gin and Tonic	5832	40	5931
25_53	2135	Mojito	2136	75	6026
22_57	2014	Mojito	2293	75	6120
14_61	1310	Margarita	2501	75	6216
22_125	2014	Bloody Mary	6231	70	6308
20_64	1971	Margarita	2580	75	6407
29_66	2453	Mojito	2651	75	6504
22_127	2014	Vodka shot	6459	20	6543
20_128	1971	Gin and Tonic	6488	40	6603
29_130	2453	Beer	6618	25	6647
31_68	2729	Mojito	2730	75	6757
34_76	3040	Margarita	3128	75	6852
21_99	1978	Mojito	4270	75	6948
34_132	3040	Red Wine	6933	25	6992
42_103	4479	Margarita	4530	75	7086
30_106	2687	Margarita	4772	75	7187
42_134	4479	Vodka shot	7167	20	7226
34_133	3040	Red Wine	7142	25	7271
35_110	3195	Margarita	5036	75	7369
3_116	208	Mojito	5273	75	7464
35_135	3195	Cider	7449	25	7511
33_118	3029	Margarita	5455	75	7604
5_119	277	Mojito	5580	75	7699
25_124	2135	Margarita	6138	75	7798
5_137	277	Cider	7810	25	7917
14_126	1310	Mojito	6299	75	8016
44_136	7782	Margarita	7785	75	8120
14_139	1310	Cosmopolitan	8127	65	8205
8_25	487	Pina Colada	1081	100	8327
14_140	1310	Beer	8256	25	8370
6_26	288	Pina Colada	1130	100	8491
8_141	487	Beer	8448	25	8536
12_56	1132	Pina Colada	2241	100	8658
8_144	487	Vodka shot	8638	20	8697
6_143	288	Martini	8611	60	8779
17_108	1686	Pina Colada	4927	100	8900
6_146	288	Martini	8890	60	8982
9_111	668	Pina Colada	5130	100	9110
17_147	1686	Vodka shot	9021	20	9149
17_149	1686	Red Wine	9153	25	9197
6_148	288	Mojito	9093	75	9292
9_150	668	Beer	9231	25	9341
43_123	5138	Pina Colada	6042	100	9461
6_151	288	Red Wine	9403	25	9513
20_131	1971	Pina Colada	6714	100	9649
43_152	5138	Red Wine	9582	25	9703
14_142	1310	Pina Colada	8471	100	9822
20_153	1971	Tequila shot	9770	20	9871
20_154	1971	Margarita	9874	75	9972
0_2	117	B52	137	200	10195
20_155	1971	Cosmopolitan	10052	65	10281
1_28	125	B52	1152	200	10507
18_42	1724	B52	1726	200	10731
18_157	1724	Bloody Mary	10742	70	10831
23_50	2048	B52	2050	200	11067
23_159	2048	Tequila shot	11077	20	11114
18_158	1724	Cider	10982	25	11165
23_160	2048	Martini	11118	60	11248
18_161	1724	Mojito	11267	75	11355
32_70	2998	B52	3000	200	11581
36_81	3472	B52	3474	200	11809
36_163	3472	Vodka shot	11820	20	11852
28_93	2423	B52	4005	200	12073
28_164	2423	Vodka shot	12084	20	12114
28_165	2423	Bloody Mary	12118	70	12204
37_95	3490	B52	4071	200	12422
37_166	3490	Mojito	12433	75	12516
39_96	3961	B52	4091	200	12735
37_167	3490	Red Wine	12627	25	12781
40_101	4090	B52	4397	200	13005
41_104	4100	B52	4547	200	13234
41_169	4100	Pina Colada	13245	100	13362
22_129	2014	B52	6547	200	13589
22_171	2014	Martini	13600	60	13671
41_170	4100	Pina Colada	13483	100	13793
22_172	2014	Martini	13787	60	12490
25_138	2135	B52	7880	200	12709
41_173	4100	Vodka shot	12528	20	12749
41_175	4100	Tequila shot	12753	20	12786
25_174	2135	Cosmopolitan	12720	65	12870
8_145	487	B52	8701	200	13094
8_177	487	Martini	13105	60	13174
25_176	2135	Bloody Mary	12923	70	13264
8_178	487	Cosmopolitan	13286	65	13356
0_156	117	B52	10205	200	13584
25_179	2135	Cider	13415	25	13628
0_180	117	Draft Beer	13595	50	13696
18_162	1724	B52	11466	200	13918
0_182	117	Draft Beer	13801	50	13996
18_183	1724	Draft Beer	13929	50	14065
25_181	2135	Bloody Mary	13728	70	14156
40_168	4090	B52	13015	200	14379
40_184	4090	Draft Beer	14389	50	14451
