primary_key	waiting_time	response_time	turnaround_time
0_1	0	0	21
1_2	88	88	190
0_3	225	225	275
2_4	180	180	206
3_5	178	178	379
1_6	313	313	338
0_7	289	289	491
2_8	464	464	485
4_9	278	278	380
5_10	380	380	482
1_11	434	434	460
0_12	386	386	487
2_13	476	476	526
6_14	482	482	507
7_15	423	423	499
5_16	361	361	387
1_17	343	343	368
0_18	386	386	462
2_19	434	434	475
6_20	489	489	690
8_21	631	631	708
5_22	606	606	631
9_23	463	463	534
0_24	546	546	748
2_25	685	685	892
10_26	775	775	977
6_27	1072	1072	1175
8_28	1011	1011	1072
5_29	1007	1007	1083
9_30	953	953	978
2_31	695	695	766
10_32	577	577	602
6_33	301	301	321
8_34	294	294	315
5_35	278	278	339
9_36	322	322	343
6_37	258	258	324
2_38	319	319	340
8_39	338	338	358
11_40	381	381	582
9_41	452	452	523
5_42	493	493	518
8_43	423	423	473
11_44	259	259	335
9_45	117	117	192
5_46	154	154	229
8_47	215	215	235
11_48	142	142	168
9_49	87	87	158
