primary_key	waiting_time	response_time	turnaround_time
0_1	4	4	24
1_2	48	48	151
2_4	38	38	63
3_5	30	30	231
0_3	455	455	506
1_6	260	260	285
2_7	264	264	467
5_10	84	84	187
4_11	193	193	218
0_8	373	373	393
6_14	11	11	36
5_15	51	51	127
7_16	53	53	78
6_17	77	77	103
1_9	573	573	676
2_12	621	621	722
0_13	528	528	579
5_18	345	345	422
6_19	354	354	394
8_23	60	60	131
1_20	366	366	570
9_27	41	41	142
8_26	229	229	431
10_28	163	163	224
9_29	216	216	292
10_31	16	16	87
2_21	1123	1123	1199
0_22	1169	1169	1194
5_24	1108	1108	1309
6_25	1270	1270	1471
8_30	914	914	940
9_32	679	679	704
2_33	543	543	564
0_34	510	510	530
5_35	419	419	479
6_36	275	275	296
2_37	180	180	245
8_38	259	259	280
9_39	199	199	219
5_40	117	117	325
11_44	93	93	170
8_41	426	426	497
11_46	47	47	123
2_42	634	634	659
9_43	645	645	696
5_45	477	477	553
8_47	204	204	225
11_48	168	168	194
9_49	101	101	172
