primary_key	waiting_time	response_time	turnaround_time
0_1	2	2	202
0_7	48	48	113
1_2	364	364	390
2_3	352	352	372
2_10	16	16	37
2_11	17	17	37
2_12	16	16	66
1_14	66	66	91
3_4	533	533	553
3_17	17	17	57
4_5	607	607	632
5_6	643	643	718
3_18	51	51	127
4_19	110	110	131
4_22	19	19	95
5_20	152	152	178
6_8	855	855	881
4_25	6	6	107
5_26	40	40	142
6_27	112	112	138
7_9	1166	1166	1192
8_13	1033	1033	1059
5_31	41	41	102
9_15	1084	1084	1124
7_33	58	58	135
5_34	65	65	90
9_37	49	49	90
7_40	15	15	65
10_16	1394	1394	1414
9_44	23	23	49
7_47	14	14	74
10_45	151	151	176
9_48	5	5	30
7_50	7	7	214
10_52	141	141	182
11_21	1585	1585	1606
11_55	16	16	81
10_56	31	31	133
12_23	1760	1760	1831
13_24	1745	1745	1771
10_60	33	33	54
10_61	18	18	95
12_62	50	50	122
10_65	29	29	49
10_66	15	15	91
12_67	4	4	76
13_64	377	377	452
12_70	20	20	220
12_72	9	9	34
13_71	205	205	230
14_28	2437	2437	2644
12_75	137	137	209
14_77	101	101	161
15_29	2736	2736	2813
12_78	45	45	107
14_80	84	84	155
16_30	2995	2995	3056
12_81	80	80	287
16_82	135	135	195
17_32	3346	3346	3372
18_35	3147	3147	3172
16_84	6	6	47
19_36	3250	3250	3325
16_87	10	10	71
17_86	166	166	191
18_85	226	226	247
16_89	16	16	41
17_90	27	27	47
18_88	119	119	144
16_91	22	22	43
20_38	3703	3703	3769
18_92	13	13	64
20_93	40	40	248
18_94	146	146	167
18_95	14	14	220
18_96	15	15	222
18_97	10	10	75
21_39	4633	4633	4659
22_41	4609	4609	4660
23_42	4662	4662	4865
21_98	208	208	269
22_99	220	220	296
21_101	4	4	206
21_103	9	9	86
22_102	228	228	248
22_104	13	13	214
21_105	192	192	253
22_106	87	87	164
23_100	933	933	959
21_108	43	43	146
22_109	102	102	128
23_110	34	34	110
21_111	37	37	140
24_43	6210	6210	6235
25_46	6186	6186	6236
21_112	10	10	71
24_113	70	70	90
24_115	17	17	83
25_114	125	125	146
24_117	8	8	33
25_116	59	59	135
24_118	12	12	88
25_119	5	5	82
24_120	37	37	97
26_49	6720	6720	6745
25_121	36	36	76
24_122	13	13	54
27_51	6856	6856	6921
25_124	54	54	131
26_123	172	172	274
25_126	59	59	136
27_125	282	282	353
26_127	85	85	105
26_128	15	15	55
28_53	7208	7208	7285
26_130	4	4	30
27_129	103	103	310
26_132	144	144	169
28_131	220	220	322
29_54	7698	7698	7723
26_133	42	42	67
30_57	7529	7529	7605
28_134	92	92	113
28_136	15	15	90
29_135	150	150	175
31_58	7776	7776	7796
28_137	36	36	61
29_138	115	115	322
29_139	10	10	76
32_59	8270	8270	8291
29_141	11	11	36
32_140	62	62	87
33_63	8246	8246	8317
29_142	63	63	166
32_143	143	143	204
33_144	84	84	104
29_145	18	18	226
32_147	176	176	196
32_148	18	18	94
33_146	393	393	453
32_149	11	11	37
34_68	8835	8835	8911
33_150	80	80	106
32_151	33	33	59
34_152	22	22	47
35_69	9079	9079	9104
36_73	8657	8657	8678
32_153	26	26	46
37_74	8641	8641	8662
37_154	23	23	99
38_76	8779	8779	8855
37_155	46	46	112
38_156	34	34	240
37_157	200	200	271
38_158	98	98	124
39_79	8956	8956	8982
40_83	8347	8347	8373
37_160	13	13	73
38_159	107	107	128
39_161	55	55	132
37_163	70	70	90
37_164	25	25	46
39_165	16	16	87
40_162	310	310	517
39_166	122	122	198
41_107	6538	6538	6558
41_167	21	21	46
41_168	1	1	210
41_169	13	13	116
41_170	0	0	105
