primary_key	waiting_time	response_time	turnaround_time
0_1	1	1	106
0_2	0	0	79
0_3	0	0	26
0_4	0	0	51
1_5	44	44	111
2_6	19	19	40
0_7	53	53	93
1_9	77	77	128
3_10	14	14	39
2_8	201	201	266
3_13	9	9	34
1_12	106	106	182
0_11	271	271	472
3_14	208	208	274
4_17	25	25	76
5_19	121	121	147
4_21	39	39	65
3_18	228	228	295
0_16	477	477	553
8_25	58	58	79
3_24	152	152	203
0_28	81	81	107
10_29	113	113	139
8_27	191	191	242
11_31	20	20	46
10_32	40	40	80
3_30	202	202	253
9_26	505	505	570
10_33	64	64	114
9_34	43	43	68
6_20	1096	1096	1172
10_35	67	67	138
7_22	1106	1106	1183
6_37	131	131	207
7_39	5	5	56
10_38	144	144	216
12_41	19	19	44
6_40	132	132	193
12_44	4	4	29
10_43	50	50	111
7_42	276	276	347
12_46	42	42	62
10_47	41	41	67
12_48	60	60	86
7_49	0	0	21
7_50	15	15	40
6_45	356	356	432
7_52	37	37	58
1_15	2725	2725	2932
1_54	29	29	49
6_53	257	257	359
4_23	2557	2557	2761
4_56	25	25	51
9_36	1888	1888	2090
4_57	101	101	127
9_58	61	61	111
12_51	1239	1239	1446
9_59	162	162	187
12_60	70	70	131
1_55	1186	1186	1391
9_61	199	199	403
