patron_id	patron_arrival_time	num_of_drinks	first_order_arrival_time	last_order_completion_time	total_prepTime
0	372	2	396	697	175
1	675	6	688	4655	210
2	969	2	970	1334	115
3	1040	7	1043	7665	425
4	1158	2	1162	2258	75
5	1221	4	1225	5217	390
6	1267	5	1268	7444	220
7	1341	7	1342	10244	455
8	1405	1	1408	2180	75
9	1678	2	1679	3549	50
10	1708	2	1718	3638	145
11	1907	3	1913	6131	285
12	1949	6	1951	9963	180
13	1997	8	2002	11185	255
14	2026	5	2028	9320	200
15	2208	2	2210	4794	45
16	2391	1	2394	3317	50
17	2414	3	2415	7070	160
18	2508	5	2509	9574	430
19	2585	5	2586	9504	315
20	2718	5	2719	9804	410
21	2950	7	2953	11029	465
22	2985	4	2986	8907	185
23	2986	8	2988	11372	450
24	3050	8	3051	11417	325
25	3450	2	3451	6950	220
26	3497	1	3498	5097	20
27	3669	7	3671	11326	625
28	3924	4	3926	9660	125
29	4188	7	4190	11255	300
30	4344	4	4345	9905	195
