patron_id	patron_arrival_time	num_of_drinks	first_order_arrival_time	last_order_completion_time	total_prepTime
0	117	3	135	1207	285
1	191	3	193	1428	75
2	250	5	253	5953	290
3	487	4	489	4316	335
4	668	5	677	6105	135
5	747	5	749	6063	215
6	768	4	769	4406	200
7	1205	5	1209	6967	235
8	1576	3	1579	4627	300
9	1674	6	1675	7829	465
10	1686	3	1692	5006	175
11	1724	3	1726	5062	110
12	1971	7	1973	9134	360
13	2048	3	2050	5212	110
14	2117	1	2118	2254	50
15	2135	8	2137	9339	540
16	2161	8	2164	9435	760
17	2228	7	2230	9041	465
18	2687	6	2689	8327	210
19	3029	8	3034	9557	590
20	3040	5	3044	7561	475
21	3472	8	3474	9637	405
22	4479	2	4481	4756	90
