patron_id	patron_arrival_time	num_of_drinks	first_order_arrival_time	last_order_completion_time	total_prepTime
0	117	3	134	455	245
1	191	3	195	1052	90
2	250	5	255	1158	170
3	487	4	492	1294	195
4	668	5	671	2021	255
5	747	5	750	1942	275
6	768	4	771	2729	190
7	1205	5	1208	2798	345
8	1576	3	1580	3090	110
9	1674	6	1677	4168	460
10	1686	3	1690	3820	155
11	1724	3	1727	4122	320
12	1971	7	1974	5376	540
13	2048	3	2051	4673	165
14	2117	1	2120	4632	25
15	2135	8	2138	6209	550
16	2161	8	2166	6940	330
17	2228	7	2231	7025	245
18	2687	6	2690	7250	355
19	3029	8	3033	8793	840
20	3040	5	3043	9066	345
21	3472	8	3477	9862	570
22	4479	2	4484	9329	100
