patron_id	patron_arrival_time	num_of_drinks	first_order_arrival_time	last_order_completion_time	total_prepTime
0	1	5	16	3966	320
1	43	5	46	11698	375
2	256	7	259	11476	500
3	259	5	262	16405	450
4	323	6	326	11786	500
5	363	3	366	9582	220
6	513	2	516	821	90
7	566	4	569	10686	300
8	757	3	761	14449	350
9	1009	6	1016	3773	230
10	1014	7	1017	2877	280
11	1025	2	1028	11229	225
12	1061	2	1064	12055	225
13	1063	6	1066	9137	295
14	1088	8	1091	13781	605
15	1181	8	1185	14865	460
16	1253	7	1257	9123	425
17	1273	6	1277	12694	310
18	1387	7	1390	9259	330
19	1428	1	1431	3396	70
20	1497	2	1500	4666	135
21	1716	4	1720	5895	205
22	2001	6	2003	7258	245
23	2013	3	2016	2362	65
24	2089	1	2092	2284	60
25	2134	6	2138	13654	420
26	2246	6	2249	7992	240
27	2354	3	2357	16230	360
28	2432	2	2435	7356	135
29	2499	8	2502	17453	550
30	2533	8	2536	15869	435
31	2640	3	2643	2940	80
32	2668	6	2671	4580	240
33	2683	7	2687	9998	345
34	2917	6	2921	3677	175
35	3112	4	3118	8641	225
36	3436	5	3439	17019	560
37	3549	1	3552	3622	25
38	4342	8	4345	9196	405
39	4601	2	4604	5003	130
40	4744	2	4750	5097	130
41	5109	5	5112	9034	220
42	5889	6	5892	14815	365
43	6246	8	6249	16306	510
