patron_id	total_waiting_time	total_response_time	total_turnaround_time	process_turnaround_time
0	2519	2519	2647	3096
1	3933	3933	4290	4750
2	651	651	693	704
3	4842	4842	5133	5411
4	286	286	311	317
5	2860	2860	3086	3327
6	12366	12366	12952	13400
7	827	827	873	1030
8	12298	12298	12697	13257
9	2939	2939	3193	3453
10	3109	3109	3391	3525
11	442	442	482	490
12	10332	10332	10997	11500
13	4982	4982	5311	5591
14	13238	13238	13849	14436
15	1043	1043	1069	1073
16	3087	3087	3188	3295
17	13129	13129	13479	14154
18	11237	11237	11771	12236
19	5824	5824	6138	6406
20	12229	12229	12705	13400
21	12351	12351	12916	13258
22	12504	12504	12860	13318
23	6457	6457	6749	7015
24	10159	10159	10397	10838
25	12343	12343	12644	13409
26	1707	1707	1733	1738
27	1908	1908	1975	1981
28	12480	12480	12940	13561
29	8751	8751	8885	9155
30	4396	4396	4494	4610
31	2080	2080	2101	2107
32	2079	2079	2151	2164
33	11880	11880	12328	12882
34	8698	8698	9026	9127
35	8747	8747	8901	9218
36	5059	5059	5106	5263
37	10173	10173	10428	10754
38	2445	2445	2521	2525
39	6839	6839	7136	7296
40	8364	8364	8655	9017
41	10897	10897	11422	11958
42	6817	6817	6888	7001
43	9951	9951	10264	10540
44	2537	2537	2599	2605
