patron_id	total_waiting_time	total_response_time	total_turnaround_time	process_turnaround_time
0	602	602	870	896
1	997	997	1073	1230
2	8096	8096	8320	8598
3	5909	5909	6020	6040
4	8115	8115	8428	8745
5	10020	10020	10464	10915
6	2697	2697	2747	2900
7	9926	9926	10093	10423
8	93	93	119	122
9	8218	8218	8360	8470
10	12652	12652	13128	13616
11	2095	2095	2197	2312
12	12261	12261	12904	13450
13	5256	5256	5488	5723
14	5137	5137	5350	5543
15	18	18	43	48
16	10071	10071	10407	11062
17	5267	5267	5417	5572
18	11391	11391	11939	12462
19	84	84	134	136
20	2170	2170	2577	2590
21	11443	11443	11879	12733
22	10077	10077	10268	10739
23	5059	5059	5210	5375
24	10854	10854	11171	11712
25	10814	10814	11242	11871
26	10864	10864	11093	11274
27	4925	4925	5062	5255
28	8225	8225	8878	9244
29	10444	10444	10835	11425
30	13	13	84	87
31	74	74	149	152
32	10900	10900	11323	11861
33	6763	6763	7188	7462
34	2196	2196	2241	2394
35	240	240	265	270
36	59	59	136	138
37	8997	8997	9595	10196
38	6110	6110	6441	6757
39	5662	5662	5849	6068
40	957	957	1361	1373
41	4702	4702	4890	5322
