patron_id	total_waiting_time	total_response_time	total_turnaround_time	process_turnaround_time
0	251	251	528	944
1	595	595	1053	1505
2	654	654	1048	1614
3	1226	1226	1743	1917
4	1976	1976	2559	2894
5	2313	2313	2421	2533
6	2543	2543	2770	2925
7	3138	3138	3340	3727
8	3034	3034	3127	3394
9	3010	3010	3455	3624
10	3320	3320	2345	3520
11	2404	2404	2505	2609
12	2844	2844	3118	3272
13	3225	3225	3957	4149
14	4081	4081	4672	5050
15	4715	4715	5187	5851
16	4712	4712	5047	5521
17	5561	5561	5786	6257
18	5973	5973	6504	7211
19	5774	5774	5794	5797
20	5933	5933	5979	5989
21	5982	5982	6165	6397
22	6231	6231	6619	7057
23	7158	7158	7295	7603
24	6868	6868	6918	6923
25	7059	7059	7439	7681
26	7787	7787	8351	9009
27	7538	7538	7725	7951
28	7764	7764	7849	7953
29	8595	8595	9039	9718
30	9070	9070	9460	9996
31	8482	8482	8687	8893
32	9763	9763	10142	10532
33	10067	10067	10397	11198
34	10092	10092	10334	10869
35	10399	10399	10562	10722
36	10688	10688	11021	11380
37	10462	10462	10487	10489
38	10147	10147	10658	11330
39	9856	9856	10009	10126
40	11700	11700	11801	10512
41	11755	11755	11916	10883
42	11153	11153	11356	10460
43	11104	11104	11454	10897
