patron_id	total_waiting_time	total_response_time	total_turnaround_time	process_turnaround_time
0	1069	1069	1369	1425
1	316	316	383	553
2	498	498	635	1020
3	5155	5155	5396	5672
4	4647	4647	4901	5440
5	2680	2680	2902	3273
6	1034	1034	1179	1339
7	7082	7082	7631	7901
8	2145	2145	2272	2489
9	5894	5894	6412	6864
10	144	144	255	470
11	762	762	925	1151
12	5412	5412	5880	6484
13	2041	2041	2208	2372
14	432	432	484	486
15	6815	6815	7601	8055
16	672	672	998	1648
17	6283	6283	6990	7493
18	6503	6503	7082	7419
19	1559	1559	1937	2584
20	1988	1988	2253	2624
21	1460	1460	1838	2746
22	80	80	121	127
