BurstID,ProcessID,RunID,WaitingTime,ResponseTime,TurnaroundTime
FCFS_N10_CS0_Seed4_B0,FCFS_N10_CS0_Seed4_P0,FCFS_N10_CS0_Seed4,0,0,26
FCFS_N10_CS0_Seed4_B1,FCFS_N10_CS0_Seed4_P0,FCFS_N10_CS0_Seed4,0,0,51
FCFS_N10_CS0_Seed4_B2,FCFS_N10_CS0_Seed4_P0,FCFS_N10_CS0_Seed4,0,0,26
FCFS_N10_CS0_Seed4_B3,FCFS_N10_CS0_Seed4_P1,FCFS_N10_CS0_Seed4,0,0,101
FCFS_N10_CS0_Seed4_B4,FCFS_N10_CS0_Seed4_P1,FCFS_N10_CS0_Seed4,0,0,76
FCFS_N10_CS0_Seed4_B5,FCFS_N10_CS0_Seed4_P1,FCFS_N10_CS0_Seed4,0,0,21
FCFS_N10_CS0_Seed4_B6,FCFS_N10_CS0_Seed4_P1,FCFS_N10_CS0_Seed4,11,11,32
FCFS_N10_CS0_Seed4_B7,FCFS_N10_CS0_Seed4_P2,FCFS_N10_CS0_Seed4,0,0,21
FCFS_N10_CS0_Seed4_B8,FCFS_N10_CS0_Seed4_P2,FCFS_N10_CS0_Seed4,20,20,96
FCFS_N10_CS0_Seed4_B9,FCFS_N10_CS0_Seed4_P3,FCFS_N10_CS0_Seed4,84,84,134
FCFS_N10_CS0_Seed4_B10,FCFS_N10_CS0_Seed4_P4,FCFS_N10_CS0_Seed4,0,0,26
FCFS_N10_CS0_Seed4_B11,FCFS_N10_CS0_Seed4_P3,FCFS_N10_CS0_Seed4,13,13,73
FCFS_N10_CS0_Seed4_B12,FCFS_N10_CS0_Seed4_P4,FCFS_N10_CS0_Seed4,3,3,28
FCFS_N10_CS0_Seed4_B13,FCFS_N10_CS0_Seed4_P5,FCFS_N10_CS0_Seed4,20,20,45
FCFS_N10_CS0_Seed4_B14,FCFS_N10_CS0_Seed4_P3,FCFS_N10_CS0_Seed4,0,0,25
FCFS_N10_CS0_Seed4_B15,FCFS_N10_CS0_Seed4_P4,FCFS_N10_CS0_Seed4,10,10,85
FCFS_N10_CS0_Seed4_B16,FCFS_N10_CS0_Seed4_P6,FCFS_N10_CS0_Seed4,75,75,100
FCFS_N10_CS0_Seed4_B17,FCFS_N10_CS0_Seed4_P5,FCFS_N10_CS0_Seed4,61,61,101
FCFS_N10_CS0_Seed4_B18,FCFS_N10_CS0_Seed4_P3,FCFS_N10_CS0_Seed4,116,116,167
FCFS_N10_CS0_Seed4_B19,FCFS_N10_CS0_Seed4_P7,FCFS_N10_CS0_Seed4,165,165,190
FCFS_N10_CS0_Seed4_B20,FCFS_N10_CS0_Seed4_P4,FCFS_N10_CS0_Seed4,124,124,150
FCFS_N10_CS0_Seed4_B21,FCFS_N10_CS0_Seed4_P6,FCFS_N10_CS0_Seed4,80,80,280
FCFS_N10_CS0_Seed4_B22,FCFS_N10_CS0_Seed4_P5,FCFS_N10_CS0_Seed4,274,274,325
FCFS_N10_CS0_Seed4_B23,FCFS_N10_CS0_Seed4_P3,FCFS_N10_CS0_Seed4,285,285,385
FCFS_N10_CS0_Seed4_B24,FCFS_N10_CS0_Seed4_P7,FCFS_N10_CS0_Seed4,361,361,386
FCFS_N10_CS0_Seed4_B25,FCFS_N10_CS0_Seed4_P4,FCFS_N10_CS0_Seed4,310,310,336
