BurstID,ProcessID,RunID,BurstSequence,DrinkName,ArrivalTime,BurstTime,ServiceStartTime,CompletionTime,QueueLevel,Priority
FCFS_N10_CS0_Seed4_B0,FCFS_N10_CS0_Seed4_P0,FCFS_N10_CS0_Seed4,0,"Beer",827,25,827,853,0,0
FCFS_N10_CS0_Seed4_B1,FCFS_N10_CS0_Seed4_P0,FCFS_N10_CS0_Seed4,1,"Draft Beer",954,50,954,1005,0,0
FCFS_N10_CS0_Seed4_B2,FCFS_N10_CS0_Seed4_P0,FCFS_N10_CS0_Seed4,2,"Cider",1106,25,1106,1132,0,0
FCFS_N10_CS0_Seed4_B3,FCFS_N10_CS0_Seed4_P1,FCFS_N10_CS0_Seed4,3,"Pina Colada",1320,100,1320,1421,0,0
FCFS_N10_CS0_Seed4_B4,FCFS_N10_CS0_Seed4_P1,FCFS_N10_CS0_Seed4,4,"Mojito",1542,75,1542,1618,0,0
FCFS_N10_CS0_Seed4_B5,FCFS_N10_CS0_Seed4_P1,FCFS_N10_CS0_Seed4,5,"Tequila shot",1729,20,1729,1750,0,0
FCFS_N10_CS0_Seed4_B6,FCFS_N10_CS0_Seed4_P1,FCFS_N10_CS0_Seed4,6,"Vodka shot",1753,20,1764,1785,0,0
FCFS_N10_CS0_Seed4_B7,FCFS_N10_CS0_Seed4_P2,FCFS_N10_CS0_Seed4,7,"Vodka shot",2309,20,2309,2330,0,0
FCFS_N10_CS0_Seed4_B8,FCFS_N10_CS0_Seed4_P2,FCFS_N10_CS0_Seed4,8,"Mojito",2334,75,2354,2430,0,0
FCFS_N10_CS0_Seed4_B9,FCFS_N10_CS0_Seed4_P3,FCFS_N10_CS0_Seed4,9,"Draft Beer",2363,50,2447,2497,0,0
FCFS_N10_CS0_Seed4_B10,FCFS_N10_CS0_Seed4_P4,FCFS_N10_CS0_Seed4,10,"Beer",2559,25,2559,2585,0,0
FCFS_N10_CS0_Seed4_B11,FCFS_N10_CS0_Seed4_P3,FCFS_N10_CS0_Seed4,11,"Martini",2598,60,2611,2671,0,0
FCFS_N10_CS0_Seed4_B12,FCFS_N10_CS0_Seed4_P4,FCFS_N10_CS0_Seed4,12,"Beer",2685,25,2688,2713,0,0
FCFS_N10_CS0_Seed4_B13,FCFS_N10_CS0_Seed4_P5,FCFS_N10_CS0_Seed4,13,"White Wine",2711,25,2731,2756,0,0
FCFS_N10_CS0_Seed4_B14,FCFS_N10_CS0_Seed4_P3,FCFS_N10_CS0_Seed4,14,"Beer",2782,25,2782,2807,0,0
FCFS_N10_CS0_Seed4_B15,FCFS_N10_CS0_Seed4_P4,FCFS_N10_CS0_Seed4,15,"Mojito",2814,75,2824,2899,0,0
FCFS_N10_CS0_Seed4_B16,FCFS_N10_CS0_Seed4_P6,FCFS_N10_CS0_Seed4,16,"Red Wine",2844,25,2919,2944,0,0
FCFS_N10_CS0_Seed4_B17,FCFS_N10_CS0_Seed4_P5,FCFS_N10_CS0_Seed4,17,"Gin and Tonic",2907,40,2968,3008,0,0
FCFS_N10_CS0_Seed4_B18,FCFS_N10_CS0_Seed4_P3,FCFS_N10_CS0_Seed4,18,"Draft Beer",2908,50,3024,3075,0,0
FCFS_N10_CS0_Seed4_B19,FCFS_N10_CS0_Seed4_P7,FCFS_N10_CS0_Seed4,19,"Cider",2926,25,3091,3116,0,0
FCFS_N10_CS0_Seed4_B20,FCFS_N10_CS0_Seed4_P4,FCFS_N10_CS0_Seed4,20,"White Wine",3010,25,3134,3160,0,0
FCFS_N10_CS0_Seed4_B21,FCFS_N10_CS0_Seed4_P6,FCFS_N10_CS0_Seed4,21,"B52",3095,200,3175,3375,0,0
FCFS_N10_CS0_Seed4_B22,FCFS_N10_CS0_Seed4_P5,FCFS_N10_CS0_Seed4,22,"Draft Beer",3119,50,3393,3444,0,0
FCFS_N10_CS0_Seed4_B23,FCFS_N10_CS0_Seed4_P3,FCFS_N10_CS0_Seed4,23,"Pina Colada",3176,100,3461,3561,0,0
FCFS_N10_CS0_Seed4_B24,FCFS_N10_CS0_Seed4_P7,FCFS_N10_CS0_Seed4,24,"Red Wine",3218,25,3579,3604,0,0
FCFS_N10_CS0_Seed4_B25,FCFS_N10_CS0_Seed4_P4,FCFS_N10_CS0_Seed4,25,"Cider",3311,25,3621,3647,0,0
FCFS_N10_CS0_Seed4_B26,FCFS_N10_CS0_Seed4_P6,FCFS_N10_CS0_Seed4,26,"Cider",3386,25,3663,3688,0,0
FCFS_N10_CS0_Seed4_B27,FCFS_N10_CS0_Seed4_P8,FCFS_N10_CS0_Seed4,27,"Cider",3415,25,3702,3727,0,0
