primary_key,waiting_time,response_time,turnaround_time
0_1,1,1,26
0_2,0,0,50
0_3,0,0,26
1_1,0,0,100
1_2,1,1,76
1_3,0,0,20
1_4,14,14,34
2_1,0,0,20
2_2,14,14,90
3_1,84,84,134
4_1,0,0,26
3_2,7,7,67
4_2,0,0,26
5_1,18,18,43
3_3,0,0,26
4_3,7,7,83
6_1,73,73,98
3_4,57,57,98
5_2,113,113,163
7_1,163,163,189
4_4,127,127,152
6_2,82,82,282
3_5,294,294,345
5_3,305,305,406
7_2,384,384,410
4_5,337,337,363
6_3,346,346,372
8_1,362,362,388
5_4,137,137,338
9_1,357,357,432
4_6,414,414,464
7_3,480,480,506
6_4,441,441,506
8_2,481,481,506
5_5,380,380,401
9_2,215,215,265
4_7,193,193,243
7_4,218,218,243
6_5,227,227,293
5_6,277,277,378
8_3,289,289,314
9_3,282,282,302
6_6,174,174,199
9_4,63,63,138
8_4,112,112,152
6_7,43,43,63
8_5,0,0,75
8_6,1,1,76
8_7,1,1,26
