primary_key	waiting_time	response_time	turnaround_time
0_1	1	1	26
0_2	0	0	51
0_3	0	0	25
1_1	0	0	101
1_2	0	0	75
1_3	0	0	20
1_4	18	18	38
2_1	1	1	21
2_2	14	14	89
3_1	76	76	126
4_1	0	0	26
3_2	11	11	71
4_2	0	0	25
5_1	16	16	41
3_3	0	0	25
4_3	4	4	79
6_1	64	64	89
3_4	53	53	93
5_2	104	104	154
7_1	149	149	174
4_4	114	114	139
6_2	72	72	273
3_5	276	276	326
5_3	286	286	386
7_2	362	362	387
4_5	311	311	336
6_3	275	275	300
8_1	267	267	292
5_4	59	59	259
4_6	258	258	333
9_1	380	380	430
7_3	441	441	466
6_4	456	456	521
8_2	494	494	520
5_5	411	411	432
4_7	237	237	288
9_2	183	183	233
7_4	214	214	239
6_5	218	218	283
5_6	270	270	370
8_3	277	277	302
9_3	199	199	219
6_6	158	158	183
9_4	53	53	128
8_4	81	81	122
6_7	12	12	32
8_5	1	1	76
8_6	0	0	75
8_7	0	0	25
